iter	Passed	Remaining
0	2	232
1	4	199
2	5	182
3	7	177
4	9	182
5	12	188
6	14	195
7	17	197
8	19	200
9	22	201
10	24	200
11	27	200
12	29	198
13	32	197
14	34	194
15	36	189
16	38	190
17	41	188
18	43	184
19	45	182
20	47	179
21	50	177
22	52	174
23	54	172
24	55	167
25	58	165
26	60	164
27	63	162
28	65	159
29	66	155
30	69	154
31	71	151
32	74	150
33	76	148
34	79	146
35	80	143
36	82	139
37	83	136
38	85	134
39	88	132
40	90	130
41	91	126
42	93	124
43	95	121
44	97	119
45	100	117
46	102	115
47	103	112
48	105	109
49	105	105
50	106	102
51	108	99
52	109	96
53	109	93
54	110	90
55	111	87
56	112	85
57	115	83
58	116	81
59	118	79
60	121	77
61	123	75
62	124	73
63	125	70
64	127	68
65	128	66
66	130	64
67	132	62
68	134	60
69	135	58
70	136	55
71	138	53
72	138	51
73	139	49
74	140	46
75	141	44
76	142	42
77	144	40
78	145	38
79	147	36
80	148	34
81	148	32
82	150	30
83	152	29
84	153	27
85	154	25
86	155	23
87	156	21
88	158	19
89	159	17
90	160	15
91	160	13
92	161	12
93	163	10
94	164	8
95	166	6
96	167	5
97	168	3
98	169	1
99	170	0
